itemID,forbidRule
737,위탁수하물 O
762,기내휴대 O
832,기내휴대 X
898,기내휴대 X
912,위탁수하물 O
1019,위탁수하물 X
776,기내휴대 O
917,기내휴대 O
780,위탁수하물 O
953,항공사 승인
950,기내휴대 X
804,위탁수하물 O
825,위탁수하물 O
892,기내휴대 O
885,위탁수하물 O
899,위탁수하물 O
794,기내휴대 O
822,기내휴대 X
918,위탁수하물 X
939,위탁수하물 O
6409,위탁수하물 O
6427,위탁수하물 O
6448,위탁수하물 O
6453,위탁수하물 O
6575,기내휴대 O
6574,기내휴대 O
6583,위탁수하물 O
6605,위탁수하물 O
6609,기내휴대 X
6618,위탁수하물 O
6652,위탁수하물 O
6632,위탁수하물 O
6659,기내휴대 O
6666,위탁수하물 O
6443,기내휴대 O
6423,위탁수하물 O
6469,위탁수하물 X
6469,기내휴대 X
6493,위탁수하물 O
6496,기내휴대 X
6495,위탁수하물 O
6495,특별조항
6530,위탁수하물 O
6534,특별조항
6521,위탁수하물 O
6517,기내휴대 X
6637,기내휴대 O
6641,기내휴대 O
6684,기내휴대 O
6687,특별조항
6692,위탁수하물 O
6699,기내휴대 O
6713,위탁수하물 O
6764,위탁수하물 O
6751,위탁수하물 O
6776,기내휴대 X
6775,위탁수하물 O
6742,위탁수하물 X
6752,위탁수하물 O
6780,특별조항
6800,위탁수하물 X
6813,위탁수하물 O
6848,위탁수하물 O
6682,기내휴대 O
6793,위탁수하물 O
6842,위탁수하물 O
6871,기내휴대 X
6723,특별조항
6737,기내휴대 O
6870,위탁수하물 O
840,위탁수하물 X
872,위탁수하물 O
962,위탁수하물 O
972,기내휴대 X
976,기내휴대 O
981,위탁수하물 O
995,특별조항
1001,특별조항
668,위탁수하물 O
686,기내휴대 X
688,위탁수하물 O
706,위탁수하물 O
725,기내휴대 O
744,위탁수하물 O
746,기내휴대 X
800,기내휴대 X
902,위탁수하물 O
913,특별조항
936,특별조항
1018,위탁수하물 X
774,기내휴대 X
919,위탁수하물 X
791,위탁수하물 O
930,위탁수하물 O
934,기내휴대 O
796,위탁수하물 X
824,항공사 승인
814,기내휴대 O
889,기내휴대 X
1016,기내휴대 X
904,기내휴대 X
798,기내휴대 X
888,위탁수하물 O
887,특별조항
885,기내휴대 O
912,기내휴대 X
925,기내휴대 X
811,위탁수하물 X
6409,기내휴대 O
6445,기내휴대 O
6567,기내휴대 X
6573,위탁수하물 O
6581,위탁수하물 O
6597,기내휴대 O
6608,기내휴대 X
6620,위탁수하물 X
6603,위탁수하물 O
6651,기내휴대 O
6664,위탁수하물 X
6671,위탁수하물 O
6429,기내휴대 O
6434,위탁수하물 O
6447,위탁수하물 O
6435,위탁수하물 O
6472,위탁수하물 X
6499,위탁수하물 X
6502,특별조항
6512,특별조항
6506,위탁수하물 O
6526,위탁수하물 O
6521,기내휴대 X
6540,기내휴대 O
6532,기내휴대 O
6607,특별조항
6415,위탁수하물 X
6529,위탁수하물 O
6645,기내휴대 O
6420,기내휴대 O
6408,특별조항
6702,특별조항
6680,기내휴대 X
6686,위탁수하물 O
6705,기내휴대 O
6726,위탁수하물 O
6760,위탁수하물 X
6747,특별조항
6728,기내휴대 X
6790,기내휴대 X
6747,위탁수하물 O
6752,기내휴대 X
6624,특별조항
6816,특별조항
842,특별조항
874,특별조항
966,기내휴대 O
964,기내휴대 X
989,특별조항
992,특별조항
998,기내휴대 O
1000,위탁수하물 O
690,위탁수하물 O
689,특별조항
670,위탁수하물 O
688,기내휴대 O
715,항공사 승인
736,기내휴대 O
737,항공사 승인
732,기내휴대 O
749,위탁수하물 O
722,기내휴대 O
773,기내휴대 O
765,기내휴대 X
911,위탁수하물 X
920,위탁수하물 X
788,기내휴대 X
778,위탁수하물 O
791,기내휴대 X
925,위탁수하물 O
919,기내휴대 O
1010,특별조항
897,위탁수하물 X
831,위탁수하물 O
894,특별조항
901,특별조항
788,위탁수하물 O
960,기내휴대 X
822,특별조항
6411,특별조항
6442,기내휴대 X
6577,특별조항
6579,위탁수하물 O
6491,위탁수하물 X
6605,기내휴대 X
6617,위탁수하물 O
6618,기내휴대 X
6651,위탁수하물 O
6659,위탁수하물 O
6669,기내휴대 O
6429,위탁수하물 O
6436,기내휴대 O
6428,기내휴대 O
6447,기내휴대 X
6468,특별조항
6496,위탁수하물 O
6477,기내휴대 O
6510,기내휴대 O
6484,위탁수하물 O
6522,기내휴대 O
6543,위탁수하물 O
6519,기내휴대 O
6414,기내휴대 O
6541,위탁수하물 O
6634,위탁수하물 O
6543,기내휴대 X
6607,위탁수하물 O
6622,위탁수하물 O
6680,위탁수하물 O
6416,특별조항
6678,기내휴대 O
6701,기내휴대 O
6734,위탁수하물 O
